path,bytes
results/subjects/dokuwiki/audit/audit.csv,465
results/subjects/dokuwiki/audit/audit_single.csv,465
results/subjects/dokuwiki/candidates/candidates.csv,58611
results/subjects/dokuwiki/candidates/candidates_sample.csv,3180
results/subjects/dokuwiki/characterization/home.csv,195
results/subjects/dokuwiki/evidence/dokuwiki-C0001.json,1157
results/subjects/dokuwiki/evidence/dokuwiki-C0002.json,1218
results/subjects/dokuwiki/evidence/dokuwiki-C0003.json,1191
results/subjects/dokuwiki/evidence/dokuwiki-C0004.json,1798
results/subjects/dokuwiki/evidence/dokuwiki-C0005.json,1238
results/subjects/dokuwiki/evidence/dokuwiki-C0006.json,1639
results/subjects/dokuwiki/evidence/dokuwiki-C0007.json,1126
results/subjects/dokuwiki/evidence/dokuwiki-C0008.json,1142
results/subjects/dokuwiki/evidence/dokuwiki-C0009.json,1098
results/subjects/dokuwiki/evidence/dokuwiki-C0010.json,1122
results/subjects/dokuwiki/evidence/dokuwiki-C0011.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0012.json,1178
results/subjects/dokuwiki/evidence/dokuwiki-C0013.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0014.json,1151
results/subjects/dokuwiki/evidence/dokuwiki-C0015.json,1124
results/subjects/dokuwiki/evidence/dokuwiki-C0016.json,1098
results/subjects/dokuwiki/evidence/dokuwiki-C0017.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0018.json,1123
results/subjects/dokuwiki/evidence/dokuwiki-C0019.json,1123
results/subjects/dokuwiki/evidence/dokuwiki-C0020.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0021.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0022.json,1099
results/subjects/dokuwiki/evidence/dokuwiki-C0023.json,1125
results/subjects/dokuwiki/evidence/dokuwiki-C0024.json,1101
results/subjects/dokuwiki/evidence/dokuwiki-C0025.json,1098
results/subjects/dokuwiki/evidence/dokuwiki-C0026.json,1100
results/subjects/dokuwiki/evidence/dokuwiki-C0027.json,1100
